"","congener","Sampling Rate (m3/d)","R2","p-value"
"110","PCB135.151",0.398,0.968,0.00156
"111","PCB136",0.42,0.967,0.00164
"112","PCB137",0.65,0.953,0.00281
"113","PCB139.140",NA,NA,NA
"114","PCB141",0.608,0.976,0.001
"115","PCB142",NA,NA,NA
"116","PCB143",NA,NA,NA
"117","PCB144",0.462,0.956,0.00255
"118","PCB145",NA,NA,NA
"119","PCB146",0.517,0.979,0.000838
"120","PCB147.149",0.426,0.97,0.00141
"121","PCB148",NA,NA,NA
"122","PCB150",NA,NA,NA
"123","PCB152",1.48,0.918,0.00665
"124","PCB153.168",0.543,0.968,0.00156
"125","PCB154",0.635,0.913,0.0072
"126","PCB155",NA,NA,NA
"127","PCB156.157",NA,NA,NA
"128","PCB158",0.6,0.96,0.00226
"129","PCB159",NA,NA,NA
"130","PCB160",1.99,0.989,3e-04
"131","PCB161",NA,NA,NA
"132","PCB162",NA,NA,NA
"133","PCB164",NA,NA,NA
"134","PCB165",NA,NA,NA
"135","PCB167",NA,NA,NA
"136","PCB169",NA,NA,NA
"137","PCB170",NA,NA,NA
"138","PCB171.173",NA,NA,NA
"139","PCB172",NA,NA,NA
"140","PCB174",NA,NA,NA
"141","PCB175",NA,NA,NA
"142","PCB176",NA,NA,NA
"143","PCB177",NA,NA,NA
"144","PCB178",NA,NA,NA
"145","PCB179",0.517,0.931,0.0051
"146","PCB180.193",NA,NA,NA
"147","PCB181",NA,NA,NA
"148","PCB182",NA,NA,NA
"149","PCB183",NA,NA,NA
"150","PCB184",NA,NA,NA
"151","PCB185",NA,NA,NA
"152","PCB186",NA,NA,NA
"153","PCB187",NA,NA,NA
"154","PCB188",NA,NA,NA
"155","PCB189",NA,NA,NA
"156","PCB190",NA,NA,NA
"157","PCB191",NA,NA,NA
"158","PCB192",NA,NA,NA
"159","PCB194",NA,NA,NA
"160","PCB195",NA,NA,NA
"161","PCB196",NA,NA,NA
"162","PCB197",NA,NA,NA
"163","PCB198.199",NA,NA,NA
"164","PCB200",NA,NA,NA
"165","PCB201",NA,NA,NA
"166","PCB202",NA,NA,NA
"167","PCB203",NA,NA,NA
"168","PCB205",NA,NA,NA
"169","PCB206",NA,NA,NA
"170","PCB207",NA,NA,NA
"171","PCB208",NA,NA,NA
"172","PCB209",NA,NA,NA
